  location                           N.1
         i                           127
         j                           328
  Num_Cell                          5729
   1067400                         1.026
   1069200                         1.026
   1071000                         1.026
   1072800                         1.026
   1074600                         1.026
   1076400                         1.026
   1078200                         1.026
   1080000                         1.026
   1081800                         1.026
   1083600                         1.026
   1085400                         1.026
   1087200                         1.026
   1089000                         1.026
   1090800                         1.026
   1092600                         1.026
   1094400                         1.026
   1096200                         1.026
   1098000                         1.026
   1099800                         1.026
   1101600                         1.026
   1103400                         1.026
   1105200                         1.026
   1107000                         1.026
   1108800                         1.026
   1110600                         1.026
   1112400                         1.026
   1114200                         1.026
   1116000                         1.026
   1117800                         1.026
   1119600                         1.026
   1121400                         1.026
   1123200                         1.026
   1125000                         0.537
   1126800                         0.537
   1128600                         0.537
   1130400                         0.537
   1132200                         0.537
   1134000                         0.537
   1135800                         0.537
   1137600                         0.537
   1139400                         0.537
   1141200                         0.537
   1143000                         0.537
   1144800                         0.537
   1146600                         0.537
   1148400                         0.537
   1150200                         0.537
   1152000                         0.537
   1153800                         0.537
   1155600                         0.537
   1157400                         0.537
   1159200                         0.537
   1161000                         0.537
   1162800                         0.537
   1164600                         0.537
   1166400                         0.537
   1168200                         0.537
   1170000                         0.537
   1171800                         0.537
   1173600                         0.537
   1175400                         0.537
   1177200                         0.537
   1179000                         0.537
   1180800                         0.537
   1182600                         0.537
   1184400                         0.537
   1186200                         0.537
   1188000                         0.537
   1189800                         0.537
   1191600                         0.537
   1193400                         0.537
   1195200                         0.537
   1197000                         0.537
   1198800                         0.537
   1200600                         0.537
   1202400                         0.537
   1204200                         0.537
   1206000                         0.537
   1207800                         0.537
   1209600                         0.537
   1211400                         0.156
   1213200                         0.156
   1215000                         0.156
   1216800                         0.156
   1218600                         0.156
   1220400                         0.156
   1222200                         0.156
   1224000                         0.156
   1225800                         0.156
   1227600                         0.156
   1229400                         0.156
   1231200                         0.156
   1233000                         0.156
   1234800                         0.156
   1236600                         0.156
   1238400                         0.156
   1240200                         0.156
   1242000                         0.156
   1243800                         0.156
   1245600                         0.156
   1247400                         0.156
   1249200                         0.156
   1251000                         0.156
   1252800                         0.156
   1254600                         0.156
   1256400                         0.156
   1258200                         0.156
   1260000                         0.156
   1261800                         0.156
   1263600                         0.156
   1265400                         0.156
   1267200                         0.156
   1269000                         0.156
   1270800                         0.156
   1272600                         0.156
   1274400                         0.156
   1276200                         0.156
   1278000                         0.156
   1279800                         0.156
   1281600                         0.156
   1283400                         0.156
   1285200                         0.156
   1287000                         0.156
   1288800                         0.156
   1290600                         0.156
   1292400                         0.156
   1294200                         0.156
   1296000                         0.156
